Longitude,Latitude,Name,Location
-105.126,40.155,Boulder County Fairground,Boulder
-105.058,40.43,Boyd Lake State Park,Loveland
-108.738,37.657,Bradfield,Cortez
-107.199,37.465,Bridge,Pagosa Springs
-107.144,37.818,Bristol Head,Creede
-105.927,40.796,Browns Park,Gould
-103.625,40.249,Brush Memorial RV Park,Brush
-109.045,38.44,Buckeye,Paradox
-105.634,39.994,Buckingham,Boulder
-105.329,39.341,Buffalo,Buffalo Creek
-106.517,38.185,Buffalo Pass,Saguache
-105.987,39.032,Buffalo Springs,Fairplay
-105.711,39.513,Burning Bear,Jefferson
-108.066,37.788,Burro Bridge,Dolores
-105.897,39.876,Byers Creek,Fraser
-108.694,37.63,Cabin Canyon,Cortez
-105.521,40.128,Camp Dick,Ward
-106.314,39.42,Camp Hale Memorial,Minturn
-107.983,39.042,Carp Lake,Cedaredge
-104.57,37.144,Carpios Ridge - Trinidad Lake State Park,Trinidad
-105.22,40.355,Carter Lake - North Side Campgrounds,Loveland
-105.209,40.32,Carter Lake - South Side Campgrounds,Berthoud
-106.245,38.71,Cascade,Nathrop
-104.584,39.364,Casey Jones Park,Elizabeth
-106.832,39.891,Catamount,Eagle
-106.307,39.837,Cataract Creek,Silverthorne
-106.605,37.822,Cathedral,Del Norte
-107.977,37.77,Cayton,Rico
-107.1,38.047,Cebolla,Lake City
-106.837,38.828,Cement Creek,Crested Butte
-106.233,38.713,Chalk Lake,Nathrop
-105.852,40.597,Chambers Lake,Rustic
-106.637,39.309,Chapman,Basalt
-107.091,40.186,Chapman Reservoir,Yampa
-105.063,39.539,Chatfield State Park,Littleton
-104.829,39.647,Cherry Creek State Park,Aurora
-104.809,38.738,Cheyenne Mountain State Park,Colorado Sprin
-107.554,38.442,Cimarron - Curecanti National Rec Area,Cimarron
-107.209,37.539,Cimarrona,Pagosa Springs
-105.231,39.754,Clear Creek RV Park,Golden
-105.708,39.652,Clear Lake,Georgetown
-105.804,38.334,Coaldale,Salida
-107.204,39.676,Coffee Pot Spring,Gypsum
-106.642,38.767,Cold Spring,Almont
