Longitude,Latitude,Name,Location
-95.026,41.399,Sunnyside Park,Atlantic
-95.025,41.398,Sunnyside Park Campground,Atlantic
-95.175,42.628,Sunrise,Storm Lake
-94.953,42.786,Sunset City Park - Albert,Albert City
-94.846,42.035,Swan Lake State Park,Carroll
-93.855,41.885,Swede Point Park,Madrid
-90.739,42.431,Swiss Valley County Park,Dubuque
-92.422,42.225,T. F. Clark Co Park,Traer
-91.528,41.72,Tailwater  - Coralville Lake,Iowa City
-94.072,41.021,Thayer Lake Rec Area,Thayer
-93.378,41.643,Thomas Mitchell County Park,Mitchellville
-93.756,43.262,Thorpe Park,Forest City
-91.874,42.456,Three Elms County Park,Independence
-94.213,41.085,Three Mile Rec Area,Afton
-92.536,42.631,Thunder Woman Park,Janesville
-93.001,42.088,Timmons Grove County Park,Marshalltown
-95.616,43.07,Tjossem County Park,Primghar
-93.07,42.401,Tower Rock - Steamboat Rock,Steamboat Rock
-91.716,42.318,Troy Mills Wapsi Access,Quasqueton
-91.385,42.403,Turtle Creek County Park,Manchester
-94.614,43.489,Tuttle Lake Park,Dolliver
-91.881,42.818,Twin Bridges County Park,Maynard
-92.389,43.014,Twin Ponds Co Park  - East,Ionia
-92.395,43.009,Twin Ponds Co Park  - West,Ionia
-92.725,42.125,Union Grove State Park,Gladbrook
-92.569,41.457,Union Mills Access,New Sharon
-94.543,42.252,University 40,Lohrville
-91.29,40.772,Upper Augusta Skunk River Access,Augusta
-92.137,43.348,Vernon Springs Turkey River County Park,Vernon Springs
-91.765,42.393,Veterans Memorial County Park,Quasqueton
-91.378,40.392,Victory Park,Keokuk
-95.043,40.964,Viking Lake State Park,Stanton
-91.32,41.142,Virginia Grove Rec Area,Morning Sun
-91.758,42.866,Volga River  State Rec Area,Fayette
-95.23,40.658,Wabash Trace Park,Coin
-91.523,42.192,Wakpicada Natural Area,Central City
-92.991,41.4,Wallashuck - Red Rock Lake,Pella
-90.863,41.91,Walnut Grove Co Park,Toronto
-93.747,41.538,Walnut Woods State Park,West Des Moines
-91.193,41.187,Wapello Fairgrounds Park,Wapello
-91.292,42.1,Wapsipinicon State Park,Anamosa
-91.622,40.939,Water Works Park,Mount Pleasant
-91.619,40.938,Waterworks Park - Oakland Mills Park,Mt.Pleasant
-95.682,40.681,Waubonsie State Park,Hamburg
-92.076,40.646,Waubonsie Trail Park,Cantril
-91.474,43.258,Waukon City Park,Waukon
-91.27,40.757,Welter Recreation Park,Augusta
-92.643,42.636,West Fork Forest Access,Shell Rock
-92.757,43.165,West Idlewild County Campground,Floyd
-90.688,41.52,West Lake County Park,Davenport
-91.536,41.725,West Overlook - Coralville Lake,Iowa City
-96.185,43.431,Westside County Park - Rock Rapids,Rock Rapids
-93.024,41.383,Whitebreast - Red Rock Lake,Knoxville
-91.887,42.194,Wildcat Bluff County Park,Urbana
-92.784,42.75,Wilder City Park,Allison
-93.082,43.204,Wilkinson - Pioneer County Park,Rock Falls
-95.053,41.906,Willow Creek City Park - Manning,Manning
-96.155,42.803,Willow Creek Park - Le Mars,Le Mars
-95.786,41.772,Willow Lake County Rec Area - Woodbine,Woodbine
-96.01,41.492,Wilson Island State Rec Area,Missouri Valle
-94.545,40.84,Wilson Lake County Park,Lenox
-91.489,40.642,Wilson Lake Park - Fort Madison,Fort Madison
-94.829,40.73,Windmill Lake Co Park,New Market
-94.005,41.328,Winterset City Park,Winterset
-93.18,42.773,WKW Conservation Park,Hampton
-94.705,43.312,Wolden Rec Area,Wallingford
-92.793,42.211,Wolf Creek Rec Area,Grundy Center
-92.802,42.893,Wunsch Memorial Park,Greene
-93.472,41.551,Yellow Banks County Park,Pleasant Hill
-91.228,43.176,Yellow River State Forest,Harpers Ferry
-95.315,42.03,Yellow Smoke Park,Denison
-92.201,41.378,Yenruogis County Park,Sigourney
-90.39,40.986,Allison Lake Storey,Galesburg
-90.768,41.438,Andalusia Slough - Missssippi River,Davenport
-90.204,40.195,Anderson Lake State Conservation Area,Browning
-90.052,42.449,Apple River Canyon State Park,Apple River
-90.801,40.453,Argyle Lake State Park,Colchester
-88.91,37.826,Arrowhead Lake,Johnston City
-91.479,40.112,Bear Creek - Mississippi River,Marcelline
-89.976,39.211,Beaver Dam State Park,Plainview
-90.939,41.054,Big River State Forest,Keithsburg
-88.175,41.838,Blackwell Forest Preserve,
-91.056,41.348,Blanchard Island - Mississippi River,Muscatine
-90.403,42.287,Blanding Landing - Mississippi River,Hanover
-88.614,39.554,Bo Wood  - Lake Shelbyville,Sullivan
-89.236,38.695,Boulder  - Lake Carlyle,Carlyle
-88.884,37.581,Buck Ridge  -  Lake Of Egypt,Ozark
-88.194,38.1,Burrell City Park,Carmi.
-88.244,37.578,Camp Cadiz,Karber's Ridge
-89.975,40.561,Canton Lake,Canton
-89.537,40.711,Carl Spindler,East Peoria
-91.152,40.425,Carthage City Park,Carthage
-88.156,37.469,Cave - In - Rock State Park,Cave-In-Rock
-88.188,42.446,Chain OLakes State Park,Spring Grove
-88.538,38.665,Charley Brown City Park,Flora
-88.788,40.163,Clinton Lake  State Rec Area,DeWitt
-89.261,38.657,Coles Creek  - Lake Carlyle,Carlyle
-89.03,40.642,Comlara County Park,Hudson
-88.759,39.452,Coon Creek - Shelbyville Lake,Shelbyville
-89.12,37.74,Crab Orchard  National Wildlife Refuge,Carbondale
