Longitude,Latitude,Name,Location
-118.743,36.152,Coffee Camp,Springville
-120.315,39.543,Cold Creek,Sierraville
-118.611,36.452,Cold Springs - Sequoia National Park,Three Rivers
-117.84,34.291,Coldbrook,
-118.999,37.597,Coldwater,ammoth Lakes
-119.17,37.252,College,Lakeshore
-119.386,35.868,Colonel Allensworth State Historic Park,Earlimart
-120.17,34.94,Colson,Santa Maria
-122.015,39.218,Colusa - Sacramento River State Rec Area,Colusa
-122.018,39.205,Colusa County Fairgrounds,Colusa
-120.368,40.047,Conklin Park Family .,Portola
-121.821,38.011,Contra Costa County Fair RV Park,Antioch
-118.831,36.818,Convict Flat,
-118.849,37.597,Convict Lake,Mammoth Lakes
-121.166,40.145,Cool Springs,Almanor
-114.903,33.448,Coon Hollow,
-122.804,40.746,Cooper Gulch,Lewiston
-115.326,33.626,Corn Springs,Corn Springs
-116.573,32.711,Corral Canyon,Pine Valley
-115.888,33.474,Corvina Beach  - Salton Sea State Rec Area,
-116.309,32.777,Cottonwood,Boulevard
-118.503,34.639,Cottonwood,Lake Hughes
-120.317,39.549,Cottonwood,Sierraville
-115.825,33.748,Cottonwood - Joshua Tree National Park,Indio
-121.061,41.431,Cottonwood Flat,Canby
-120.209,39.891,Cottonwood Springs Family .,Chilcoot
-123.05,39.056,Cow Mountain Rec Area,Ukiah
-118.619,36.127,Coy Flat,Springville
-121.528,37.078,Coyote Lake County Park,Gilroy
-117.085,34.264,Crab Flats,Lake Arrowhead
-121.52,40.563,Crags - Lassen Volcanic National Park,
-119.795,37.752,Crane Flat - Yosemite National Park,Crane Flat
-121.043,40.627,Crater Lake,Susanville
-120.423,39.891,Crocker Family .,Portola
-118.769,37.573,Crowley Lake,Mammoth Lakes
-117.822,33.563,Crystal Cove State Park - Moro Campground,Laguna Beach
-117.836,34.324,Crystal Lake Rec Area,Azusa
-119.845,38.764,Crystal Springs,Bridgeport
-123.389,41.786,Curly Jack,Happy Camp
-120.102,38.977,D.L. Bliss State Park,Emerald Bay
-119.832,38.342,Dardanelle,Dardanelle
-116.732,33.804,Dark Canyon, Idyllwild
-121.108,39.429,Dark Day,Camptonville
-122.656,39.362,Davis Flat,Elk Creek
-119.95,34.756,Davy Brown,Santa Ynez
-121.975,41.062,Deadlum,Round Mountain
-119.748,38.317,Deadman,Mi-Wuk
-121.024,39.89,Deanes Valley,Quincy
-121.838,40.965,Deep Creek,Big Bend
-119.176,37.252,Deer Creek,Clovis
-122.135,41.568,Deer Mountain Snowpark,Weed
-122.884,39.266,Deer Valley,Upper Lake
-122.926,40.47,Deerlick Springs,
-120.526,38.742,Deerwood  - Sly Park Recreation Area,Pollock Pines
-117.405,33.221,Del Mar Beach Military,Oceanside
-121.688,37.57,Del Valle Regional Park,Livermore
-119.202,34.436,Dennison Park,Ojai
-123.393,40.933,Denny,Denny
-116.959,34.875,Desert Rat RV Military,Barstow
-119.063,37.654,Devils Postpile,
-118.036,34.243,Devore,Azusa
-120.638,39.631,Diablo,
-119.87,37.863,Diamond O,Groveland
-118.057,36.559,Diaz Lake,Lone Pine
-123.541,41.574,Dillon,Orleans
-119.156,37.071,Dinkey,Dinkey Creek
-119.837,37.671,Dirt Flat,El Portal
-122.702,39.336,Dixie Glade,Stonyford
-117.047,33.162,Dixon Lake,Escondito
-118.435,33.931,Dockweiler Beach RV,Los Angeles
-120.131,40.975,Dodge,Susanville
-120.066,39.565,Dog Valley,Verdi
-117.212,34.235,Dogwood,Rimforest
-117.688,33.464,Doheny State Beach,Dana Point
-121.345,40.36,Domingo Springs,Chester
-120.241,39.322,Donner Memorial State Park,Truckee
-120.634,39.322,Donner Summit Area - Lake Spaulding,Emigrant Gap
-119.31,37.113,Dorabelle,Shaver Lake
-123.042,38.315,Doran Regional Park,Bodega Bay
-118.811,36.636,Dorst  Creek - Sequoia National Park,Giant Forest
-116.941,32.999,Dos Picos,Ramona
-121.311,37.83,Dos Reis,Lathrop
-122.954,40.648,Douglas City,Douglas City
-118.011,35.424,Dove Springs Off Hwy Area,Mohave
-116.97,33.461,Dripping Springs,Aguanga
-120.765,38.942,Dru Barner,Georgetown
-119.835,37.674,Dry Gulch,Mariposa
-114.942,32.714,Dunebuggy FlatsÂ Â OHV,Winterhaven
-118.977,34.675,Dutchman,Maricopa
-123.659,41.235,E - Ne - Nuck,Orleans
-120.779,40.549,Eagle,Susanville
-122.671,41.153,Eagle Creek,Trinity Center
-123.109,41.154,East Fork,Cecilville
-118.719,37.484,East Fork,Bishop
-120.532,39.501,East Meadow,Truckee
-122.52,39.349,East Park Reservoir - USBR,Lodoga
-122.921,40.773,East Weaver,Trinity Center
-118.833,36.718,Eastern Big Meadow Road,
-123.107,41.154,Eastfork,
-117.925,34.918,Edwards AFB Military,
-123.084,39.825,Eel River,Covelo
-120.022,34.462,El Capitan State Beach,Goleta
-117.413,33.651,El Cariso,Lake Elsinore
-115.68,32.818,El Centro NAF Military,El Centro
-120.71,35.338,El Chorro Regional Park,San Luis Obispo
-119.975,38.944,El Dorado,South Lake Tahoe
-117.542,34.623,El Mirage Dry Lake OHV,Adelanto
